"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"6171","PUBG: BATTLEGROUNDS","Dec 21, 2017","Free","N/A (N/A)","100,000,000 .. 200,000,000","00:00 (00:00)","PUBG Corporation","KRAFTON, Inc."
"1282","Unturned","Jul 7, 2017","Free","N/A (N/A)","50,000,000 .. 100,000,000","00:00 (00:00)","Smartly Dressed Games","Smartly Dressed Games"
"226","ARK: Survival Evolved","Aug 27, 2017","$14.99","N/A (N/A/70%)","20,000,000 .. 50,000,000","00:00 (00:00)","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard, Snail Games USA"
"1281","Brawlhalla","Oct 17, 2017","Free","N/A (N/A)","20,000,000 .. 50,000,000","00:00 (00:00)","Blue Mammoth Games","Ubisoft"
"17","Hollow Knight","Feb 24, 2017","$14.99","N/A (N/A/87%)","10,000,000 .. 20,000,000","00:00 (00:00)","Team Cherry","Team Cherry"
"70","World of Warships","Nov 15, 2017","Free","N/A (N/A/81%)","10,000,000 .. 20,000,000","00:00 (00:00)","Wargaming Group Limited","Wargaming Group Limited"
"1278","VRChat","Feb 1, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","VRChat Inc.","VRChat Inc."
"1","Divinity: Original Sin 2 - Definitive Edition","Sep 14, 2017","$44.99","N/A (N/A/93%)","5,000,000 .. 10,000,000","00:00 (00:00)","Larian Studios","Larian Studios"
"12","Cuphead","Sep 29, 2017","$19.99","N/A (N/A/88%)","5,000,000 .. 10,000,000","00:00 (00:00)","Studio MDHR Entertainment Inc.","Studio MDHR Entertainment Inc."
"16","Total War: WARHAMMER II","Sep 28, 2017","$14.99","N/A (N/A/87%)","5,000,000 .. 10,000,000","00:00 (00:00)","CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
"69","Little Nightmares","Apr 27, 2017","$3.99","N/A (N/A/81%)","5,000,000 .. 10,000,000","00:00 (00:00)","Tarsier Studios","BANDAI NAMCO Entertainment"
"90","Black Desert","May 24, 2017","$9.99","N/A (N/A/80%)","5,000,000 .. 10,000,000","00:00 (00:00)","Pearl Abyss","Pearl Abyss"
"91","The Elder Scrolls Online","May 22, 2017","$19.99","N/A (N/A/80%)","5,000,000 .. 10,000,000","00:00 (00:00)","ZeniMax Online Studios","Bethesda Softworks"
"284","Fallout Shelter","Mar 29, 2017","Free","N/A (N/A/63%)","5,000,000 .. 10,000,000","00:00 (00:00)","Bethesda Game Studios","Bethesda Softworks"
"1274","Business Tour - Board Game with Online Multiplayer","Jul 27, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","8Floor","8Floor"
"1276","Deceit","Mar 3, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","World Makers","World Makers"
"1277","Robocraft","Aug 24, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Freejam","Freejam"
"1279","SCP: Secret Laboratory","Dec 29, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Northwood Studios","Northwood Studios"
"1280","Doki Doki Literature Club!","Sep 22, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Team Salvato","Team Salvato"
"6170","theHunter: Call of the Wild","Feb 16, 2017","$19.99","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Expansive Worlds","Expansive Worlds"
"28","Battlerite","Nov 8, 2017","Free","N/A (N/A/85%)","2,000,000 .. 5,000,000","00:00 (00:00)","Stunlock Studios","Stunlock Studios"
"39","Nioh: Complete Edition","Nov 7, 2017","$49.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","00:00 (00:00)","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
"40","NieR:Automata","Mar 17, 2017","$15.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","00:00 (00:00)","Square Enix, PlatinumGames Inc.","Square Enix"
"49","Hellblade: Senua's Sacrifice","Aug 8, 2017","$8.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","00:00 (00:00)","Ninja Theory","Ninja Theory"
"50","Resident Evil 7 Biohazard","Jan 23, 2017","$7.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","00:00 (00:00)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"56","TEKKEN 7","Jun 1, 2017","$9.99","N/A (N/A/82%)","2,000,000 .. 5,000,000","00:00 (00:00)","BANDAI NAMCO Studios Inc.","BANDAI NAMCO Entertainment"
"68","Rising Storm 2: Vietnam","May 30, 2017","$4.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","00:00 (00:00)","Antimatter Games, Tripwire Interactive","Tripwire Interactive"
"71","Slime Rancher","Aug 1, 2017","$19.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","00:00 (00:00)","Monomi Park","Monomi Park"
"120","Sniper Elite 4","Feb 13, 2017","$59.99","N/A (N/A/78%)","2,000,000 .. 5,000,000","00:00 (00:00)","Rebellion","Rebellion"
"134","Life is Strange: Before the Storm","Aug 31, 2017","$16.99","N/A (N/A/77%)","2,000,000 .. 5,000,000","00:00 (00:00)","Deck Nine, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)"
"165","The Escapists 2","Aug 21, 2017","$19.99","N/A (N/A/75%)","2,000,000 .. 5,000,000","00:00 (00:00)","Team17, Mouldy Toof Studios","Team17"
"166","Outlast 2","Apr 24, 2017","$29.99","N/A (N/A/75%)","2,000,000 .. 5,000,000","00:00 (00:00)","Red Barrels","Red Barrels"
"200","Albion Online","Jul 17, 2017","Free","N/A (N/A/72%)","2,000,000 .. 5,000,000","00:00 (00:00)","Sandbox Interactive GmbH","Sandbox Interactive GmbH"
"293","Friday the 13th: The Game","May 26, 2017","N/A","N/A (N/A/61%)","2,000,000 .. 5,000,000","00:00 (00:00)","IllFonic","Gun Media"
"1254","Line of Sight","Jan 31, 2017","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","BlackSpot Entertainment","BlackSpot Entertainment"
"1255","Argo","Jun 22, 2017","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Bohemia Interactive","Bohemia Interactive"
"1262","ARK: Survival Of The Fittest","Aug 29, 2017","$14.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard"
"1266","Last Man Standing","Mar 29, 2017","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Free Reign Entertainment, Free Reign Entertainment","Free Reign Entertainment"
"1267","BRAIN / OUT","Feb 24, 2017","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Desertkun","Desertkun"
"1268","Codename CURE","Oct 31, 2017","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Hoobalugalar_X","Raptor Byte"
"1269","Dungeon Defenders II","Jun 20, 2017","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Chromatic Games","Chromatic Games"
"1270","Alien Swarm: Reactive Drop","Apr 20, 2017","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Reactive Drop Team","Reactive Drop Team"
"1272","Freddy Fazbear's Pizzeria Simulator","Dec 4, 2017","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Scott Cawthon","Scott Cawthon"
"1273","Yu-Gi-Oh! Duel Links","Nov 16, 2017","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","KONAMI","KONAMI"
"1275","Crossout","Jul 26, 2017","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Targem Games","Gaijin Network Ltd"
"6158","UNO","Jan 3, 2017","$9.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Ubisoft Entertainment","Ubisoft Entertainment"
"6159","Prey","May 4, 2017","$29.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Arkane Studios","Bethesda Softworks"
"6160","Car Mechanic Simulator 2018","Jul 28, 2017","$1.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Red Dot Games","PlayWay S.A."
"6161","Gang Beasts","Dec 12, 2017","$7.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Boneloaf, Rocket Science","Boneloaf"
"6162","Getting Over It with Bennett Foddy","Dec 6, 2017","$7.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Bennett Foddy","Bennett Foddy"
"6164","Tom Clancy's Ghost Recon Wildlands","Mar 6, 2017","$49.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Ubisoft Paris, Ubisoft Annecy, Ubisoft Bucharest, Ubisoft Montpellier, Ubisoft Milan, Reflections, Ubisoft Belgrade","Ubisoft"
"6166","Middle-earth: Shadow of War","Oct 9, 2017","$49.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Monolith Productions","WB Games"
"6167","Assassin's Creed Origins","Oct 26, 2017","$59.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Ubisoft Montreal","Ubisoft"
"6168","The Long Dark","Aug 1, 2017","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Hinterland Studio Inc.","Hinterland Studio Inc."
"6169","Stick Fight: The Game","Sep 28, 2017","$4.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Landfall West","Landfall"
"5","Bayonetta","Apr 11, 2017","$5.99","N/A (N/A/90%)","1,000,000 .. 2,000,000","00:00 (00:00)","PlatinumGames","SEGA"
"11","Night in the Woods","Feb 21, 2017","$19.99","N/A (N/A/88%)","1,000,000 .. 2,000,000","00:00 (00:00)","Infinite Fall","Finji"
"14","Orcs Must Die! Unchained","Apr 19, 2017","N/A","N/A (N/A/87%)","1,000,000 .. 2,000,000","00:00 (00:00)","Robot Entertainment","Robot Entertainment"
"23","Injustice 2","Nov 30, 2017","$4.99","N/A (N/A/86%)","1,000,000 .. 2,000,000","00:00 (00:00)","NetherRealm Studios, QLOC","WB Games"
"24","Wolfenstein II: The New Colossus","Oct 26, 2017","$39.99","N/A (N/A/86%)","1,000,000 .. 2,000,000","00:00 (00:00)","Machine Games","Bethesda Softworks"
"36","Project CARS 2","Sep 21, 2017","N/A","N/A (N/A/84%)","1,000,000 .. 2,000,000","00:00 (00:00)","Slightly Mad Studios","BANDAI NAMCO Entertainment"
"38","Sonic Mania","Aug 29, 2017","$4.99","N/A (N/A/84%)","1,000,000 .. 2,000,000","00:00 (00:00)","Christian Whitehead, Headcannon, PagodaWest Games","SEGA"
"66","Dishonored: Death of the Outsider","Sep 14, 2017","$29.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","00:00 (00:00)","Arkane Studios","Bethesda Softworks"
"84","Danganronpa V3: Killing Harmony","Sep 25, 2017","$39.99","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd."
"85","Tales of Berseria","Jan 26, 2017","$49.99","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","BANDAI NAMCO Studios Inc.","BANDAI NAMCO Entertainment"
"86","ENDLESS Space 2","May 18, 2017","$9.99","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","AMPLITUDE Studios","SEGA"
"87","Darkwood","Aug 17, 2017","$3.74","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","Acid Wizard Studio","Acid Wizard Studio"
"89","The Evil Within 2","Oct 12, 2017","$39.99","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","Tango Gameworks","Bethesda Softworks"
"131","TERA - Action MMORPG","Jan 31, 2017","N/A","N/A (N/A/77%)","1,000,000 .. 2,000,000","00:00 (00:00)","Bluehole, Inc.","Gameforge 4D GmbH"
"132","Warhammer 40,000: Dawn of War III","Apr 27, 2017","$7.99","N/A (N/A/77%)","1,000,000 .. 2,000,000","00:00 (00:00)","Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
"133","Day of Infamy","Mar 23, 2017","$14.99","N/A (N/A/77%)","1,000,000 .. 2,000,000","00:00 (00:00)","New World Interactive","New World Interactive"
"147","Gigantic","Jul 19, 2017","N/A","N/A (N/A/76%)","1,000,000 .. 2,000,000","00:00 (00:00)","Motiga Inc.","Perfect World Entertainment"
"176","Forts","Apr 19, 2017","$14.99","N/A (N/A/74%)","1,000,000 .. 2,000,000","00:00 (00:00)","EarthWork Games","EarthWork Games"
"197","Dream Daddy: A Dad Dating Simulator","Jul 20, 2017","$14.99","N/A (N/A/72%)","1,000,000 .. 2,000,000","00:00 (00:00)","Game Grumps","Game Grumps"
"198","The Surge","May 15, 2017","$14.99","N/A (N/A/72%)","1,000,000 .. 2,000,000","00:00 (00:00)","Deck13","Focus Entertainment"
"199","Portal Knights","May 18, 2017","$5.99","N/A (N/A/72%)","1,000,000 .. 2,000,000","00:00 (00:00)","Keen Games GmbH","505 Games"
"263","Rain World","Mar 28, 2017","$24.99","N/A (N/A/66%)","1,000,000 .. 2,000,000","00:00 (00:00)","Videocult","Akupara Games"
"289","Need for Speed Payback","Nov 6, 2017","$4.49","N/A (N/A/62%)","1,000,000 .. 2,000,000","00:00 (00:00)","Ghost Games","Electronic Arts"
"1186","TurnSignal","Jul 30, 2017","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Ben Otter","Otter-Co"
"1239","MOBIUS FINAL FANTASY","Feb 5, 2017","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Square Enix","Square Enix"
"1250","Modern Combat Versus","Dec 19, 2017","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Gameloft","Gameloft"
"1253","McOsu","Mar 20, 2017","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","McKay","McKay"
"1258","Realm Grinder","Jun 15, 2017","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Divine Games","Kongregate"
"1259","Catan Universe","Apr 25, 2017","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Client/Frontend: Endava / Backend: SuperNimbus","USM"
"1260","SAS: Zombie Assault 4","Oct 16, 2017","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Ninja Kiwi","Ninja Kiwi"
"1263","The Elder Scrolls: Legends","May 31, 2017","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Sparkypants Studios, LLC","Bethesda Softworks"
"1265","The Culling","Oct 5, 2017","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Xaviant","Xaviant Games"
"1271","We Were Here","Feb 3, 2017","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Total Mayhem Games","Total Mayhem Games"
"4978","Secret in Story","Jun 19, 2017","$0.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Naivus Luo","Naivus Luo"
"5520","Heaven Forest NIGHTS","Mar 13, 2017","$0.49","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Fabio Ferrara","Chubby Pixel"
"5869","Reflex","Nov 23, 2017","$0.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Easy game","Game for people"
"5888","Pixel Sketch","Jun 19, 2017","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","mimicryTeam","mimicryTeam"
"5977","Minimalism","Feb 8, 2017","$0.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","PixelMouse","PixelMouse"
"6113","The LEGO NINJAGO Movie Video Game","Sep 22, 2017","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Traveller's Tales, TT Games","Warner Bros. Interactive Entertainment"
"6144","Sniper Ghost Warrior 3","Apr 24, 2017","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","CI Games","CI Games"
"6146","BIGFOOT","Jan 31, 2017","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","CyberLight Game Studio","CyberLight Game Studio"
"6147","X-Plane 11","Mar 30, 2017","$29.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Laminar Research","Laminar Research"
"6149","South Park: The Fractured But Whole","Oct 16, 2017","$29.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Ubisoft San Francisco","Ubisoft"
"6150","Tricolour Lovestory","Sep 20, 2017","$1.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","HL-Galgame","SakuraGame"
"6151","Bendy and the Ink Machine","Apr 27, 2017","$7.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Joey Drew Studios","Joey Drew Studios"
"6152","Creativerse","May 8, 2017","$24.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Playful Corp.","Playful Corp."
"6153","Kingdoms and Castles","Jul 20, 2017","$14.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Lion Shield, LLC","Lion Shield, LLC"
"6154","Hand Simulator","Jul 18, 2017","$2.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","HFM Games","HFM Games"
"6155","MudRunner","Oct 30, 2017","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Saber Interactive","Focus Entertainment"
"6156","Rivals of Aether","Mar 28, 2017","$29.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Aether Studios","Aether Studios"
"6157","Pavlov","Feb 27, 2017","$24.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Vankrupt Games","Vankrupt Games"
"6163","Ravenfield","May 18, 2017","$17.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","SteelRaven7","SteelRaven7"
"6165","CarX Drift Racing Online","Nov 17, 2017","$14.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","CarX Technologies, LLC","CarX Technologies, LLC"
"2","Okami HD","Dec 12, 2017","$9.99","N/A (N/A/92%)","500,000 .. 1,000,000","00:00 (00:00)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"8","Pinball FX3","Sep 26, 2017","$23.97","N/A (N/A/89%)","500,000 .. 1,000,000","00:00 (00:00)","Zen Studios","Zen Studios"
"10","What Remains of Edith Finch","Apr 24, 2017","$19.99","N/A (N/A/89%)","500,000 .. 1,000,000","00:00 (00:00)","Giant Sparrow","Annapurna Interactive"
"15","West of Loathing","Aug 10, 2017","$10.99","N/A (N/A/87%)","500,000 .. 1,000,000","00:00 (00:00)","Asymmetric","Asymmetric"
"47","SUPERHOT VR","May 25, 2017","$24.99","N/A (N/A/83%)","500,000 .. 1,000,000","00:00 (00:00)","SUPERHOT Team","SUPERHOT Team"
"48","Detention","Jan 12, 2017","$11.99","N/A (N/A/83%)","500,000 .. 1,000,000","00:00 (00:00)","RedCandleGames","RedCandleGames, AGM PLAYISM"
"55","Pyre","Jul 25, 2017","$19.99","N/A (N/A/82%)","500,000 .. 1,000,000","00:00 (00:00)","Supergiant Games","Supergiant Games"
"65","Faeria","Mar 8, 2017","$19.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","Abrakam Entertainment SA","Versus Evil"
"67","Finding Paradise","Dec 14, 2017","$1.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","Freebird Games","Freebird Games"
"83","LEGO City Undercover","Apr 4, 2017","$19.99","N/A (N/A/80%)","500,000 .. 1,000,000","00:00 (00:00)","Traveller's Tales","TT Games"
"88","Battle Brothers","Mar 24, 2017","$29.99","N/A (N/A/80%)","500,000 .. 1,000,000","00:00 (00:00)","Overhype Studios","Overhype Studios"
"96","Heat Signature","Sep 21, 2017","$14.99","N/A (N/A/79%)","500,000 .. 1,000,000","00:00 (00:00)","Suspicious Developments","Suspicious Developments"
"99","EVERSPACE","May 25, 2017","$3.99","N/A (N/A/79%)","500,000 .. 1,000,000","00:00 (00:00)","ROCKFISH Games","ROCKFISH Games"
"100","Cat Quest","Aug 8, 2017","$12.99","N/A (N/A/79%)","500,000 .. 1,000,000","00:00 (00:00)","The Gentlebros","Kepler Interactive"
"101","A Hat in Time","Oct 5, 2017","$29.99","N/A (N/A/79%)","500,000 .. 1,000,000","00:00 (00:00)","Gears for Breakfast","Gears for Breakfast"
"114",">observer_","Aug 15, 2017","N/A","N/A (N/A/78%)","500,000 .. 1,000,000","00:00 (00:00)","Bloober Team SA","Bloober Team"
"115","Fallout 4 VR","Dec 11, 2017","$59.99","N/A (N/A/78%)","500,000 .. 1,000,000","00:00 (00:00)","Bethesda Game Studios","Bethesda Softworks"
"116","Vanquish","May 25, 2017","$5.99","N/A (N/A/78%)","500,000 .. 1,000,000","00:00 (00:00)","PlatinumGames, Little Stone Software","SEGA"
"119","DiRT 4","Jun 9, 2017","N/A","N/A (N/A/78%)","500,000 .. 1,000,000","00:00 (00:00)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux), Electronic Arts"
"129","Figment","Sep 22, 2017","$19.99","N/A (N/A/77%)","500,000 .. 1,000,000","00:00 (00:00)","Bedtime Digital Games","Bedtime Digital Games"
"148","Secret World Legends","Jul 31, 2017","Free","N/A (N/A/76%)","500,000 .. 1,000,000","00:00 (00:00)","Funcom","Funcom"
"149","Bulletstorm: Full Clip Edition","Apr 7, 2017","$39.99","N/A (N/A/76%)","500,000 .. 1,000,000","00:00 (00:00)","People Can Fly","Gearbox Publishing"
"161","RUINER","Sep 26, 2017","$19.99","N/A (N/A/75%)","500,000 .. 1,000,000","00:00 (00:00)","Reikon Games","Devolver Digital"
"162","Absolver","Aug 29, 2017","$29.99","N/A (N/A/75%)","500,000 .. 1,000,000","00:00 (00:00)","Sloclap","Devolver Digital"
"163","Bomber Crew","Oct 19, 2017","$1.99","N/A (N/A/75%)","500,000 .. 1,000,000","00:00 (00:00)","Runner Duck","Curve Games"
"164","Dungeons 3","Oct 13, 2017","$29.99","N/A (N/A/75%)","500,000 .. 1,000,000","00:00 (00:00)","Realmforge Studios","Kalypso Media"
"186","Yooka-Laylee","Apr 11, 2017","$19.99","N/A (N/A/73%)","500,000 .. 1,000,000","00:00 (00:00)","Playtonic Games","Playtonic Friends"
"196","Styx: Shards of Darkness","Mar 14, 2017","$19.99","N/A (N/A/72%)","500,000 .. 1,000,000","00:00 (00:00)","Cyanide Studio","Nacon"
"213","Heliborne Collection","Oct 12, 2017","$5.99","N/A (N/A/71%)","500,000 .. 1,000,000","00:00 (00:00)","Klabater","Klabater"
"214","Dreamfall Chapters","Jul 21, 2017","$24.99","N/A (N/A/71%)","500,000 .. 1,000,000","00:00 (00:00)","Red Thread Games","Red Thread Games"
"236","Tannenberg","Nov 16, 2017","$19.99","N/A (N/A/69%)","500,000 .. 1,000,000","00:00 (00:00)","Blackmill Games","Blackmill Games"
"248","911 Operator","Feb 24, 2017","$2.99","N/A (N/A/68%)","500,000 .. 1,000,000","00:00 (00:00)","Jutsu Games","Games Operators"
"255","ELEX","Oct 17, 2017","$29.99","N/A (N/A/67%)","500,000 .. 1,000,000","00:00 (00:00)","Piranha Bytes","THQ Nordic"
"278","Serial Cleaner","Jul 14, 2017","$1.49","N/A (N/A/64%)","500,000 .. 1,000,000","00:00 (00:00)","Draw Distance","Curve Games"
"306","Sonic Forces","Nov 7, 2017","$9.99","N/A (N/A/56%)","500,000 .. 1,000,000","00:00 (00:00)","Sonic Team, Hardlight","SEGA"
"667","Flame of Memory","Dec 8, 2017","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Kacper Stasiełuk","Kacper Stasiełuk"
"712","Magic Lantern","Jan 29, 2017","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Parovoz Animation Studio","Interactive Moolt"
"1201","PRO EVOLUTION SOCCER 2018 LITE","Nov 15, 2017","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Konami Digital Entertainment Co., Ltd","Konami Digital Entertainment"
"1215","Tales of Escape","Mar 15, 2017","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","OnSkull Games","OnSkull Games"
"1217","Sniper Fury","Jun 13, 2017","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Gameloft","Gameloft"
"1218","ONRAID","Apr 18, 2017","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Pragmatix Ltd","Pragmatix Ltd"
"1229","Spacelords","Sep 22, 2017","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","MercurySteam","Mercury Steam Entertainment s.l."
"1230","Warspear Online","Nov 2, 2017","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Titulum Enterprises Limited","Titulum Enterprises Limited"
"1231","Just Cause 3: Multiplayer Mod","Jul 20, 2017","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","nanos GbR","nanos GbR, Square Enix"
"1233","NosTale - Anime MMORPG","Sep 18, 2017","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Entwell Co., Ltd.","Gameforge 4D GmbH"
"1234","Bit Heroes","Dec 13, 2017","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Juppiomenz","Kongregate"
"1236","Skyforge","Apr 13, 2017","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Allods Team","Music Guru LLC"
"1247","Tanki Online","Mar 2, 2017","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Alternativa Game Ltd.","APL Publishing Ltd."
"1251","Pixel Worlds: MMO Sandbox","Jan 21, 2017","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Kukouri Mobile Entertainment","Kukouri Mobile Entertainment"
"1252","OLDTV","Jul 14, 2017","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Creability","Creability"
"1256","PickCrafter","Dec 14, 2017","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Fiveamp","Fiveamp"
"1257","Soda Dungeon","Feb 6, 2017","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","AN Productions, Poxpower","Armor Games Studios"
"1261","Loading Screen Simulator","Jul 15, 2017","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","CakeEaterGames","CakeEaterGames"
"1264","Youtubers Life","Feb 2, 2017","$8.24","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","U-Play Online","U-Play Online,"
"3215","Resurgence","Sep 12, 2017","$1.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Lightning Man Media","Lightning Man Media"
"3584","Deadly Animal Duel","Sep 12, 2017","$1.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Night Animals","New Reality Games"
"3630","DEATH TRAIN - Warning: Unsafe VR Experience","Sep 21, 2017","$19.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Nomad Assembly","Nomad Assembly"
"4402","Cosmic Pioneer","Jun 7, 2017","$0.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Amaterasu Software","Amaterasu Software"
"5087","The Pasture","Jan 17, 2017","$0.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Mikhail Maksimov","Sometimes You"
